date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2003,CHE,CHF,Switzerland,6.3,1.37,4.598540146,0.86933,0.54262,0.46255,1.1062,2.84605,25959.33196,2.436590024,1.11725,0.48048,0.44396,1.40204,1.8412
4/1/2003,CHL,CLP,Chile,1400,716,1.955307263,-0.20516,-0.34408,-0.37812,-0.10444,0.63535,5423.03251,1.882915619,0.16498,-0.18539,-0.20548,0.32168,0.56332
4/1/2003,CHN,CNY,China,9.9,8.28,1.195652174,-0.51396,-0.59891,-0.61973,-0.45237,0,2346.994061,1.79998326,-0.2548,-0.47893,-0.49178,-0.15457,0
4/1/2003,CZE,CZK,Czech Republic,56.57,28.9,1.957439446,-0.20429,-0.34336,-0.37744,-0.10346,0.63713,11471.20987,2.045979126,0.0733,-0.2495,-0.26801,0.21767,0.44029
4/1/2003,DNK,DKK,Denmark,27.75,6.78,4.092920354,0.66379,0.373,0.30174,0.87462,2.42317,23288.08927,2.36457127,0.94185,0.35783,0.32434,1.20305,1.60582
4/1/2003,EGY,EGP,Egypt,8,5.92,1.351351351,-0.45067,-0.54668,-0.57021,-0.38106,0.13022,1839.47853,1.786300252,-0.15131,-0.40656,-0.42119,-0.03715,0.13888
4/1/2003,EUZ,EUR,Euro area,2.71,0.909090909,2.981,0.21179,0,-0.05191,0.36534,1.4932,22318.72798,2.338436545,0.43012,0,-0.02466,0.62248,0.91911
4/1/2003,GBR,GBP,Britain,1.99,0.632911392,3.144200002,0.27813,0.05475,0,0.44009,1.62969,24810.97034,2.405629313,0.46628,0.02529,0,0.66351,0.96764
4/1/2003,HKG,HKD,Hong Kong,11.5,7.8,1.474358974,-0.40067,-0.50541,-0.53109,-0.32472,0.2331,41261.70086,2.849153642,-0.41947,-0.59407,-0.60408,-0.34139,-0.22098
4/1/2003,HUN,HUF,Hungary,490,224,2.1875,-0.11077,-0.26619,-0.30427,0.00191,0.82955,8601.974255,1.96862233,0.24658,-0.12834,-0.14983,0.41426,0.67282
4/1/2003,IDN,IDR,Indonesia,16100,8740,1.842105263,-0.25118,-0.38205,-0.41413,-0.15629,0.54067,1426.839956,1.775175199,0.16415,-0.18598,-0.20605,0.32074,0.5622
4/1/2003,JPN,JPY,Japan,262,120,2.183333333,-0.11247,-0.26758,-0.3056,0,0.82606,38653.70314,2.778840021,-0.11856,-0.38366,-0.39886,0,0.18282
